-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1983 through 05/25/2023 
Location: Latitude  17.3606   Longitude 78.4741 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M_RANGE
1983,1,1,31.29,13.09,49.25,0.0,95.79,1.81
1983,1,2,30.44,13.89,50.56,0.0,95.7,2.97
1983,1,3,28.63,10.81,41.0,0.0,95.81,1.18
1983,1,4,28.73,10.23,41.38,0.0,95.92,1.64
1983,1,5,28.59,12.59,52.75,0.0,95.9,1.96
1983,1,6,28.48,12.12,52.31,0.0,95.94,2.32
1983,1,7,30.27,15.87,38.06,0.0,95.89,2.93
1983,1,8,31.97,13.88,35.38,0.0,95.8,2.03
1983,1,9,32.01,13.15,35.69,0.0,95.73,2.2
1983,1,10,31.83,13.01,54.25,0.0,95.86,2.55
1983,1,11,30.79,15.41,50.25,0.0,95.95,2.63
1983,1,12,30.45,14.29,56.0,0.0,95.87,1.29
1983,1,13,30.87,14.45,55.44,0.0,95.79,1.45
1983,1,14,30.19,14.86,59.44,0.0,95.81,2.89
1983,1,15,30.06,16.02,61.0,0.0,95.84,2.42
1983,1,16,30.76,15.03,59.06,0.0,95.95,2.7
1983,1,17,31.04,15.45,60.88,0.0,95.99,2.32
1983,1,18,31.31,15.92,56.69,0.0,95.94,1.93
1983,1,19,32.9,15.67,51.94,0.0,95.85,2.23
1983,1,20,32.96,15.99,52.69,0.0,95.87,2.76
1983,1,21,31.92,17.05,44.81,0.0,96.04,4.27
